Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,438.58M,-,18.43,12.33,25.35,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,1025.98%,1062.60%,1138.10%,99.04%,29.80%,264.81%,375.67%,499.47%,-63.75%,533.63%,-63.75%,1069.93%,62.60,-29.51%,10.57,7.16,-49.93%,8684898
AAIC,Real Estate,126.02M,-,70.01,0.64,14.16,5.94,34.66M,32.45M,36.40%,2.82%,3.79,-2.70%,-24.60%,-,3.50,0.27%,-1.86%,-35.54%,3.19%,2.77%,-4.28%,-1.27%,21.76%,-10.51%,21.59%,-45.94%,161.43%,43.90,0.00%,0.41,3.66,-1.08%,15637
AAU,Basic Materials,70.49M,-,-,1.53,26.11,-,119.16M,114.95M,5.90%,0.52%,0.15,-4.20%,-4.60%,9.50,0.04,22.08%,41.95%,53.44%,22.88%,14.65%,14.67%,7.02%,4.51%,-40.30%,59.20%,-42.23%,237.77%,54.21,1.57%,0.89,0.72,-0.32%,575238
ABEO,Healthcare,252.57M,-,36.08,2.00,2.61,-,93.77M,84.15M,37.00%,2.02%,0.66,-47.00%,-62.00%,2.70,0.02,23.62%,41.38%,-6.82%,8.86%,9.72%,16.86%,34.64%,8.33%,-6.35%,80.15%,-45.62%,138.50%,63.41,5.69%,2.39,2.36,-4.07%,976040
ABEV,Consumer Defensive,45.79B,16.53,-,2.95,-,-,15.73B,4.39B,8.62%,1.84%,3.29,-,-,-,-,0.34%,-4.90%,-26.62%,3.33%,3.37%,-0.75%,-0.16%,16.12%,-7.95%,14.95%,-28.02%,59.12%,50.13,1.03%,0.56,2.95,1.23%,2207709
ABIO,Healthcare,43.29M,-,-,0.56,0.85,-,9.32M,9.28M,6.40%,0.87%,0.16,-29.30%,-31.30%,34.00,0.00,11.48%,9.39%,-17.38%,5.80%,5.19%,5.20%,8.95%,-9.83%,-3.40%,19.58%,-78.75%,111.57%,59.34,1.50%,5.04,4.68,0.33%,413149
ABUS,Healthcare,342.91M,-,56.21,-,2.90,-,79.49M,63.55M,31.00%,6.38%,1.08,-76.20%,128.90%,15.90,-,13.35%,17.18%,28.40%,6.22%,7.52%,1.09%,0.90%,34.27%,-31.77%,17.79%,-55.60%,355.11%,52.40,1.92%,2.50,4.01,-3.73%,1497173
ACCO,Industrials,862.17M,11.38,0.50,1.15,10.05,7.61,94.50M,91.78M,94.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,6.12%,3.75%,-3.49%,3.44%,3.44%,1.01%,2.60%,24.72%,-4.02%,14.37%,-23.42%,148.29%,53.87,1.13%,0.57,8.72,-1.53%,49610
ACER,Healthcare,60.29M,-,-,4.46,9.72,-,11.51M,11.21M,32.20%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,7.12%,58.59%,-6.45%,9.30%,15.12%,13.92%,35.76%,31.19%,-16.56%,73.41%,-44.99%,269.30%,61.21,0.74%,0.75,3.99,-1.76%,93515
ACH,Basic Materials,8.20B,-,0.30,0.65,4.08,15.24,680.91M,429.49M,1.60%,0.00%,0.09,0.00%,-0.10%,0.70,1.85,2.15%,-12.74%,9.19%,1.69%,1.78%,-5.60%,-8.58%,24.10%,-19.10%,6.34%,-19.10%,75.00%,43.39,0.37%,0.91,8.05,-0.37%,14353
ACIU,Healthcare,528.09M,-,29.50,1.97,1.90,-,71.93M,37.91M,29.80%,3.25%,3.42,-22.10%,-24.20%,18.10,0.01,17.13%,30.55%,-24.97%,13.90%,9.34%,13.02%,23.95%,9.57%,-27.03%,45.95%,-46.00%,72.48%,63.64,-0.42%,2.91,7.02,-2.23%,167386
ACOR,Healthcare,69.45M,1.35,0.42,1.09,1.10,-,47.71M,9.35M,41.80%,11.56%,0.91,6.60%,16.10%,1.10,0.73,3.77%,77.23%,-44.75%,8.03%,10.71%,12.61%,40.71%,58.88%,-15.06%,118.27%,-44.02%,190.24%,63.80,0.84%,0.22,7.36,2.73%,42049
ACRX,Healthcare,249.08M,-,47.90,-,5.78,-,113.81M,88.85M,25.40%,11.82%,2.21,-60.70%,85.50%,2.90,-,3.11%,69.34%,38.92%,8.67%,15.56%,10.74%,38.45%,54.81%,-23.18%,95.55%,-23.18%,222.01%,60.27,4.31%,1.47,2.26,-2.65%,1113287
ACST,Healthcare,73.15M,-,-,8.21,-,-,96.89M,93.53M,1.66%,1.70%,0.04,-,-,-,-,8.71%,45.75%,-1.95%,9.81%,17.89%,7.28%,60.19%,50.36%,-32.99%,243.74%,-32.99%,326.96%,60.61,2.57%,1.03,0.73,-3.30%,7107683
ACTG,Industrials,363.54M,32.16,13.93,1.76,1.20,121.18,48.47M,46.31M,69.70%,2.64%,1.70,4.00%,7.30%,2.60,0.57,28.98%,82.96%,199.18%,10.42%,10.01%,27.15%,55.62%,86.88%,-9.09%,101.15%,-9.09%,300.00%,73.41,2.47%,5.50,7.00,-4.11%,633202
ADAP,Healthcare,907.24M,-,283.51,2.40,2.27,-,154.67M,11.25M,90.10%,11.81%,0.86,-33.70%,-44.90%,12.20,0.00,6.57%,1.21%,29.78%,6.04%,7.31%,2.69%,14.15%,-14.82%,-7.56%,56.46%,-55.75%,196.50%,56.11,0.68%,0.69,5.93,1.54%,170243
ADES,Industrials,100.84M,-,1.70,1.14,6.72,2.69,18.09M,17.94M,63.40%,4.45%,7.67,-14.50%,-24.20%,1.40,0.35,2.31%,-2.57%,-55.49%,8.52%,5.31%,8.38%,4.83%,15.77%,-9.42%,24.62%,-54.32%,63.95%,58.97,12.99%,9.17,5.77,8.66%,152371
ADIL,Healthcare,33.77M,-,-,4.52,4.56,-,13.65M,11.87M,9.80%,3.12%,0.71,-121.30%,-132.80%,7.50,0.00,9.30%,29.12%,38.24%,7.01%,8.58%,8.53%,16.05%,37.32%,-15.69%,44.37%,-42.25%,131.00%,61.39,1.28%,0.68,2.31,-1.70%,56380
